order_id,customer_id,order_date,status
ORD_0,CUST_467,2025-12-02,PLACED
ORD_1,CUST_131,2025-08-17,SHIPPED
ORD_2,CUST_382,2025-10-29,PLACED
ORD_3,CUST_239,2026-03-13,PLACED
ORD_4,CUST_386,2025-12-26,CANCELLED
ORD_5,CUST_370,2025-05-10,SHIPPED
ORD_6,CUST_495,2025-07-09,SHIPPED
ORD_7,CUST_46,2025-09-30,PLACED
ORD_8,CUST_135,2025-07-20,PLACED
ORD_9,CUST_232,2025-10-14,CANCELLED
ORD_10,CUST_383,2025-05-11,SHIPPED
ORD_11,CUST_299,2025-10-07,CANCELLED
ORD_12,CUST_481,2025-10-12,PLACED
ORD_13,CUST_345,2025-12-22,SHIPPED
ORD_14,CUST_12,2025-06-07,CANCELLED
ORD_15,CUST_167,2025-06-12,PLACED
ORD_16,CUST_331,2026-03-19,CANCELLED
ORD_17,CUST_421,2025-08-26,CANCELLED
ORD_18,CUST_154,2025-05-23,SHIPPED
ORD_19,CUST_59,2026-02-08,PLACED
ORD_20,CUST_484,2026-04-01,SHIPPED
ORD_21,CUST_252,2026-02-20,PLACED
ORD_22,CUST_120,2025-07-19,PLACED
ORD_23,CUST_198,2025-08-31,SHIPPED
ORD_24,CUST_343,2025-04-29,CANCELLED
ORD_25,CUST_214,2025-06-24,CANCELLED
ORD_26,CUST_372,2026-01-31,SHIPPED
ORD_27,CUST_335,2026-03-01,SHIPPED
ORD_28,CUST_315,2025-09-24,SHIPPED
ORD_29,CUST_16,2025-05-02,SHIPPED
ORD_30,CUST_111,2025-09-05,SHIPPED
ORD_31,CUST_486,2025-12-21,SHIPPED
ORD_32,CUST_50,2025-05-04,SHIPPED
ORD_33,CUST_278,2025-05-25,SHIPPED
ORD_34,CUST_31,2025-09-29,SHIPPED
ORD_35,CUST_97,2026-02-17,SHIPPED
ORD_36,CUST_46,2025-05-16,PLACED
ORD_37,CUST_328,2025-05-28,CANCELLED
ORD_38,CUST_497,2026-04-10,PLACED
ORD_39,CUST_402,2025-11-01,PLACED
ORD_40,CUST_64,2025-07-05,PLACED
ORD_41,CUST_35,2025-07-11,PLACED
ORD_42,CUST_300,2025-12-31,PLACED
ORD_43,CUST_168,2026-02-04,CANCELLED
ORD_44,CUST_1,2025-11-30,PLACED
ORD_45,CUST_66,2025-07-18,SHIPPED
ORD_46,CUST_408,2026-01-21,PLACED
ORD_47,CUST_338,2026-04-07,PLACED
ORD_48,CUST_7,2025-10-19,PLACED
ORD_49,CUST_301,2025-11-06,PLACED
ORD_50,CUST_89,2025-12-06,PLACED
ORD_51,CUST_64,2025-09-17,CANCELLED
ORD_52,CUST_58,2026-03-19,SHIPPED
ORD_53,CUST_229,2025-10-17,CANCELLED
ORD_54,CUST_303,2026-02-24,SHIPPED
ORD_55,CUST_257,2025-12-28,CANCELLED
ORD_56,CUST_22,2025-05-18,CANCELLED
ORD_57,CUST_154,2025-08-29,CANCELLED
ORD_58,CUST_493,2026-04-05,PLACED
ORD_59,CUST_245,2025-09-27,SHIPPED
ORD_60,CUST_351,2026-02-24,SHIPPED
ORD_61,CUST_364,2025-09-05,PLACED
ORD_62,CUST_460,2026-03-10,SHIPPED
ORD_63,CUST_311,2026-02-04,PLACED
ORD_64,CUST_64,2025-12-01,CANCELLED
ORD_65,CUST_324,2025-06-25,CANCELLED
ORD_66,CUST_364,2025-11-05,SHIPPED
ORD_67,CUST_305,2025-07-23,SHIPPED
ORD_68,CUST_232,2025-08-05,CANCELLED
ORD_69,CUST_220,2026-03-01,CANCELLED
ORD_70,CUST_58,2025-05-20,CANCELLED
ORD_71,CUST_449,2025-07-12,CANCELLED
ORD_72,CUST_443,2025-12-31,SHIPPED
ORD_73,CUST_231,2025-12-25,SHIPPED
ORD_74,CUST_173,2025-08-31,SHIPPED
ORD_75,CUST_212,2026-03-03,SHIPPED
ORD_76,CUST_218,2025-11-11,CANCELLED
ORD_77,CUST_130,2025-10-11,PLACED
ORD_78,CUST_351,2025-08-21,PLACED
ORD_79,CUST_46,2026-03-08,PLACED
ORD_80,CUST_221,2026-03-02,CANCELLED
ORD_81,CUST_378,2025-10-12,PLACED
ORD_82,CUST_284,2026-03-21,CANCELLED
ORD_83,CUST_489,2025-07-07,CANCELLED
ORD_84,CUST_168,2025-05-12,PLACED
ORD_85,CUST_210,2025-10-21,CANCELLED
ORD_86,CUST_481,2025-09-16,CANCELLED
ORD_87,CUST_26,2025-11-24,CANCELLED
ORD_88,CUST_159,2025-10-22,PLACED
ORD_89,CUST_295,2025-08-04,PLACED
ORD_90,CUST_79,2025-05-19,SHIPPED
ORD_91,CUST_114,2026-02-24,SHIPPED
ORD_92,CUST_432,2025-07-10,SHIPPED
ORD_93,CUST_58,2025-11-29,CANCELLED
ORD_94,CUST_115,2025-09-13,CANCELLED
ORD_95,CUST_498,2025-06-06,CANCELLED
ORD_96,CUST_345,2025-05-26,CANCELLED
ORD_97,CUST_13,2025-06-13,CANCELLED
ORD_98,CUST_424,2025-04-30,SHIPPED
ORD_99,CUST_14,2026-01-18,SHIPPED
ORD_100,CUST_359,2025-11-13,SHIPPED
ORD_101,CUST_179,2026-04-17,PLACED
ORD_102,CUST_445,2026-02-06,CANCELLED
ORD_103,CUST_336,2025-09-27,PLACED
ORD_104,CUST_72,2025-05-31,PLACED
ORD_105,CUST_46,2025-07-23,PLACED
ORD_106,CUST_192,2025-09-18,SHIPPED
ORD_107,CUST_174,2026-01-30,SHIPPED
ORD_108,CUST_159,2025-11-05,CANCELLED
ORD_109,CUST_305,2026-03-08,PLACED
ORD_110,CUST_79,2026-01-30,CANCELLED
ORD_111,CUST_25,2025-05-10,PLACED
ORD_112,CUST_139,2025-09-06,CANCELLED
ORD_113,CUST_217,2025-08-15,CANCELLED
ORD_114,CUST_226,2025-09-20,SHIPPED
ORD_115,CUST_110,2025-08-01,PLACED
ORD_116,CUST_176,2025-09-12,PLACED
ORD_117,CUST_145,2025-05-08,CANCELLED
ORD_118,CUST_303,2025-08-14,CANCELLED
ORD_119,CUST_341,2025-11-14,PLACED
ORD_120,CUST_112,2025-09-30,CANCELLED
ORD_121,CUST_28,2026-04-17,PLACED
ORD_122,CUST_154,2026-01-02,PLACED
ORD_123,CUST_391,2025-12-11,SHIPPED
ORD_124,CUST_167,2026-02-18,PLACED
ORD_125,CUST_254,2025-09-12,PLACED
ORD_126,CUST_66,2025-10-08,CANCELLED
ORD_127,CUST_360,2025-12-24,CANCELLED
ORD_128,CUST_286,2025-05-13,SHIPPED
ORD_129,CUST_36,2025-09-29,CANCELLED
ORD_130,CUST_21,2025-09-09,PLACED
ORD_131,CUST_235,2026-03-12,SHIPPED
ORD_132,CUST_294,2025-09-13,CANCELLED
ORD_133,CUST_207,2025-04-22,CANCELLED
ORD_134,CUST_213,2025-11-23,PLACED
ORD_135,CUST_207,2026-04-10,SHIPPED
ORD_136,CUST_87,2025-06-08,SHIPPED
ORD_137,CUST_425,2025-05-02,SHIPPED
ORD_138,CUST_45,2025-09-09,PLACED
ORD_139,CUST_124,2025-09-09,CANCELLED
ORD_140,CUST_205,2025-07-26,PLACED
ORD_141,CUST_202,2025-11-13,CANCELLED
ORD_142,CUST_173,2025-12-28,SHIPPED
ORD_143,CUST_398,2026-01-24,PLACED
ORD_144,CUST_261,2025-05-31,PLACED
ORD_145,CUST_271,2025-08-02,PLACED
ORD_146,CUST_463,2025-10-24,SHIPPED
ORD_147,CUST_372,2025-05-25,PLACED
ORD_148,CUST_120,2026-02-27,PLACED
ORD_149,CUST_131,2026-01-09,PLACED
ORD_150,CUST_308,2026-02-01,CANCELLED
ORD_151,CUST_38,2026-01-20,CANCELLED
ORD_152,CUST_252,2025-08-26,CANCELLED
ORD_153,CUST_389,2025-06-28,SHIPPED
ORD_154,CUST_348,2025-07-05,CANCELLED
ORD_155,CUST_325,2025-06-05,SHIPPED
ORD_156,CUST_442,2025-06-03,SHIPPED
ORD_157,CUST_77,2025-09-07,PLACED
ORD_158,CUST_240,2025-09-06,CANCELLED
ORD_159,CUST_155,2025-12-01,CANCELLED
ORD_160,CUST_28,2025-10-22,CANCELLED
ORD_161,CUST_37,2025-11-13,SHIPPED
ORD_162,CUST_231,2026-04-01,PLACED
ORD_163,CUST_188,2025-11-25,PLACED
ORD_164,CUST_330,2026-03-05,CANCELLED
ORD_165,CUST_304,2025-08-04,SHIPPED
ORD_166,CUST_236,2025-06-27,CANCELLED
ORD_167,CUST_488,2026-03-30,SHIPPED
ORD_168,CUST_465,2025-07-02,CANCELLED
ORD_169,CUST_96,2025-11-07,CANCELLED
ORD_170,CUST_243,2025-08-07,PLACED
ORD_171,CUST_490,2026-03-20,SHIPPED
ORD_172,CUST_52,2025-10-27,CANCELLED
ORD_173,CUST_43,2025-08-05,CANCELLED
ORD_174,CUST_88,2026-03-31,PLACED
ORD_175,CUST_362,2025-09-08,SHIPPED
ORD_176,CUST_268,2025-07-27,CANCELLED
ORD_177,CUST_81,2025-10-16,SHIPPED
ORD_178,CUST_469,2025-11-27,SHIPPED
ORD_179,CUST_209,2025-10-29,CANCELLED
ORD_180,CUST_306,2026-03-25,CANCELLED
ORD_181,CUST_331,2025-10-31,PLACED
ORD_182,CUST_168,2026-03-03,CANCELLED
ORD_183,CUST_347,2025-10-05,SHIPPED
ORD_184,CUST_129,2025-05-19,CANCELLED
ORD_185,CUST_447,2026-02-03,SHIPPED
ORD_186,CUST_41,2025-06-26,CANCELLED
ORD_187,CUST_72,2025-10-23,SHIPPED
ORD_188,CUST_495,2025-05-20,CANCELLED
ORD_189,CUST_339,2025-10-02,PLACED
ORD_190,CUST_304,2025-04-23,PLACED
ORD_191,CUST_158,2025-07-08,SHIPPED
ORD_192,CUST_329,2025-11-03,PLACED
ORD_193,CUST_343,2025-04-26,CANCELLED
ORD_194,CUST_350,2025-07-25,PLACED
ORD_195,CUST_330,2025-05-12,SHIPPED
ORD_196,CUST_260,2025-10-17,PLACED
ORD_197,CUST_185,2025-11-13,PLACED
ORD_198,CUST_486,2026-01-01,SHIPPED
ORD_199,CUST_485,2025-08-15,PLACED
ORD_200,CUST_115,2026-02-09,PLACED
ORD_201,CUST_39,2025-11-20,PLACED
ORD_202,CUST_259,2025-07-18,CANCELLED
ORD_203,CUST_452,2025-07-25,PLACED
ORD_204,CUST_338,2025-10-30,CANCELLED
ORD_205,CUST_67,2025-06-19,SHIPPED
ORD_206,CUST_78,2026-01-27,PLACED
ORD_207,CUST_425,2025-05-01,CANCELLED
ORD_208,CUST_414,2026-01-26,CANCELLED
ORD_209,CUST_224,2026-03-29,SHIPPED
ORD_210,CUST_186,2025-05-09,CANCELLED
ORD_211,CUST_121,2025-09-05,CANCELLED
ORD_212,CUST_145,2025-09-03,PLACED
ORD_213,CUST_273,2025-12-19,SHIPPED
ORD_214,CUST_494,2025-08-23,PLACED
ORD_215,CUST_188,2025-05-08,CANCELLED
ORD_216,CUST_225,2025-08-27,SHIPPED
ORD_217,CUST_398,2025-10-07,CANCELLED
ORD_218,CUST_270,2025-09-18,PLACED
ORD_219,CUST_418,2026-01-08,CANCELLED
